kaggle_id,totalCorner_id
bRnqdaDa/,8830175
2sGFAGjQ/,46827129
ClV0x19T/,46876410
8QeV7dCB/,46876468
lK5Y35ZA/,46876389
E3ONKnML/,46876432
OEVANlx3/,46876434
Cv4bEpak/,46876436
Ym5fFQqq/,46876440
Ucm70WSI/,46876391
tlFD8TKu/,46876393
AT6U4oK4/,46876395
tbr7x9Y6/,46876397
E3dR8xc5/,46876470
OSbJfrPc/,46876412
lz4w6zsO/,46876472
pnas2q4N/,46876401
KtPJLS6F/,46876442
zDcN9Isa/,46876474
t4gOg2v4/,46876416
EHiWit9G/,46876418
C2AZj0OM/,46876420
82DrH0kP/,46876476
Iy3IAbSh/,46876478
WYBXWvXj/,46876422
233M67kh/,46876404
CpmC2B4g/,46876450
GxpTbT3I/,46876454
vXl44XZt/,46876456
QmiG1VJa/,46876460
hh4r54Qi/,46876462
n3uPa9lC/,46876464
h27ds1Yp/,46876466
tjQFM8i9/,46876444
KvEH7mzn/,46876406
G67Q5R4b/,46876408
6BEY6GRH/,46876480
KfhShMgA/,46876424
IV7TXKHp/,46876426
6FI1D4Ee/,46876446
vo4EBvDn/,46876482
SQ2s5fdU/,46876484
fRavjKwT/,46876428
pO4ACKct/,46876486
nVZ7LFtB/,46981533
tYWqQsb1/,46981473
j3h5XP5R/,46981477
b9suRNre/,46981479
Gfe30tuN/,46981491
CQdXWall/,46981514
8vy4MeR4/,46981535
8YFfhAKd/,46981516
40kEqIGd/,46981518
GbJ2jlk9/,46981520
fkI6k84F/,46981522
MyKbiUZ2/,46981524
dzn6ovnp/,46981526
46EY27Qq/,46981537
Sti5KZeH/,46981539
EHy0NyCb/,46981542
fyadZoyF/,46981481
0EahzSL8/,46981483
YRc0Y5jL/,46981485
hCvXSqEr/,46981487
nZwyS3Tl/,46981489
Uca7a0fT/,46981493
MXea1MPG/,46981495
GfHYFLvA/,46981497
EVzvfvIj/,46981501
txPLINfi/,46981503
2iDUG1P3/,46981505
AHGxFufG/,46981507
Q9jApb1j/,46981528
CWHt1oed/,46981544
0EXeOHdh/,46981546
bTDx2Ruj/,46981548
vaqmQwSu/,46981551
KSNPHsAc/,46981510
6mdyWJ3f/,46981530
IkriPcsn/,46981553
nVNZn55E/,47009520
fiipL6nS/,47009600
OWW3JpZc/,46981453
QTM6oa3s/,47009475
feeDRfZ5/,47009522
KOVmP1D7/,47009524
zguCTG4g/,47009530
E1kDdNRp/,46981455
G6TeL64o/,46981457
fcSaKQJi/,46981459
2NV7I4l4/,46981461
pnLCHO3A/,46981463
KlsByTmD/,46981465
CWwCGQfq/,47009602
GIFJrcm0/,47009477
nkWODOv2/,47009605
v9bo13JT/,46981467
8vPVmoj8/,47009532
0hbyNSHF/,47009607
ULsWi1QD/,47009479
KjMApJIm/,47009483
t6llTHmD/,47009485
l8FtEa9M/,47009566
jNxGFpAk/,47009609
