id_odsp,date,season,league,country,home_team,away_team,odd_h,odd_d,odd_a,score_pre_80,score_ft,game_state_80,goal_diff_80,home_shots_pre80,away_shots_pre80,home_shots_on_target_pre80,away_shots_on_target_pre80,home_shots_off_target_pre80,away_shots_off_target_pre80,home_yellow_cards_pre80,away_yellow_cards_pre80,home_sending_off_pre80,away_sending_off_pre80,home_fouls_pre80,away_fouls_pre80,home_corners_pre80,away_corners_pre80,total_shots_pre_80,total_fouls_pre_80,total_yellow_cards_pre_80,total_sending_off_pre_80,total_corners_pre_80,total_corners_70_75,total_shots_70_75,total_fouls_70_75,total_corners_75_80,total_shots_75_80,total_fouls_75_80,home_shots_ft,away_shots_ft,home_shots_on_target_ft,away_shots_on_target_ft,home_shots_off_target_ft,away_shots_off_target_ft,home_yellow_cards_ft,away_yellow_cards_ft,home_sending_off_ft,away_sending_off_ft,home_fouls_ft,away_fouls_ft,home_corners_ft,away_corners_ft,total_corners_ft,home_shots_70_75,away_shots_70_75,home_shots_on_target_70_75,away_shots_on_target_70_75,home_shots_off_target_70_75,away_shots_off_target_70_75,home_yellow_cards_70_75,away_yellow_cards_70_75,home_sending_off_70_75,away_sending_off_70_75,home_fouls_70_75,away_fouls_70_75,home_corners_70_75,away_corners_70_75,home_shots_75_80,away_shots_75_80,home_shots_on_target_75_80,away_shots_on_target_75_80,home_shots_off_target_75_80,away_shots_off_target_75_80,home_yellow_cards_75_80,away_yellow_cards_75_80,home_sending_off_75_80,away_sending_off_75_80,home_fouls_75_80,away_fouls_75_80,home_corners_75_80,away_corners_75_80,home_corner_diff,away_corner_diff,league_england,league_spain,league_germany,league_italy,league_france,league_avg_corners,league_avg_home_corners,league_avg_away_corners,league_avg_post80_corners,league_avg_post80_home_corners,league_avg_post80_away_corners,corner_diff,is_home_trailing,trailing_team,trailing_team_corners,home_games,home_corners_for_avg,home_corners_against_avg,home_post80_corners_for_avg,home_post80_corners_against_avg,away_games,away_corners_for_avg,away_corners_against_avg,away_post80_corners_for_avg,away_post80_corners_against_avg,game_state_80_h,game_state_80_a,game_state_80_d,abs_goal_diff_80,close_game_80,goal_diff_squared_80,odds_ratio,shot_to_corner_ratio_pre_80,team_aggression_score_pre_80,home_urgency_to_attack,away_urgency_to_attack,home_momentum_to_attack,away_momentum_to_attack,attack_intensity,defensive_pressure,trailing_team_probability,target
dCueCZOI/,2016-10-30,2017,D1,germany,FC Cologne,Hamburg SV,1.71,4.2,6.0,1-0,3-0,h,1,15,7,4,1,11,6,3,1,0,1,14,12,7,3,22,26,4,1,10,0,2,1,0,1,1,17,10,6,2,11,8,3,1,0,1,15,15,7,4,11,2,0,0,0,2,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,9.502,5.308,4.194,1.302,0.718,0.585,1,0.0,away,1.0,4.0,4.262,4.839,0.544,0.717,4.0,2.239,6.262,0.317,0.944,1,0,0,1,1,1,0.285,2.2,1.364,0.0,0.167,-0.0,0.0,1,0,16.667,1
fis8of83/,2016-10-30,2017,I1,italy,AC Milan,US Pescara,1.42,5.11,10.0,1-0,1-0,h,1,15,9,7,5,8,4,1,2,0,0,5,12,5,4,24,17,3,0,9,0,1,0,0,1,0,18,14,9,6,9,8,1,2,0,0,9,14,5,5,10,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,10.288,5.747,4.54,1.517,0.829,0.688,1,0.0,away,1.0,5.0,6.125,7.09,0.138,0.948,4.0,4.308,5.149,1.138,0.566,1,0,0,1,1,1,0.142,2.667,0.833,0.0,0.1,-0.0,0.1,1,0,10.0,1
hjDXGPqp/,2016-10-30,2017,F1,france,Nice,Nantes,2.04,3.4,4.9,4-1,4-1,h,3,11,16,7,4,4,12,1,3,0,0,12,15,2,4,27,27,4,0,6,0,0,1,0,0,1,12,16,7,4,5,12,1,3,0,0,12,18,2,4,6,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,9.48,5.359,4.12,1.393,0.767,0.625,0,,,,6.0,3.623,5.017,1.252,0.804,5.0,4.02,4.227,0.771,0.461,1,0,0,3,0,9,0.416,4.5,1.148,0.0,0.0,0.0,0.0,0,0,20.408,0
j1ktDshO/,2016-10-30,2017,SP1,spain,Las Palmas,Celta Vigo,2.38,3.7,3.3,3-3,3-3,d,0,16,7,7,6,9,1,1,6,0,1,11,19,6,1,23,30,7,1,7,0,1,2,0,1,2,17,9,8,6,9,3,2,7,0,1,12,21,8,1,9,1,0,0,0,1,0,0,1,0,0,0,2,0,0,1,0,1,0,0,0,0,0,0,0,2,0,0,0,2,0,0,1,0,0,0,10.496,5.982,4.514,1.491,0.831,0.66,2,,,,4.0,4.396,3.903,0.366,0.132,4.0,4.703,4.596,0.532,0.566,0,0,1,0,1,0,0.721,3.286,1.609,0.581,0.419,0.0,0.0,0,0,30.303,1
lE2s0gNd/,2016-10-30,2017,I1,italy,Empoli,AS Roma,6.02,4.35,1.67,0-0,0-0,d,0,7,15,2,3,5,12,6,2,0,0,14,9,3,4,22,23,8,0,7,0,1,0,1,2,2,8,23,3,5,5,18,6,3,0,0,17,10,4,8,12,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,0,0,1,1,0,0,0,1,1,0,1,1,4,0,0,0,1,0,10.288,5.747,4.54,1.517,0.829,0.688,5,,,,5.0,4.791,3.923,1.138,0.615,5.0,6.257,5.958,1.281,0.805,0,0,1,0,1,0,3.605,3.143,1.409,0.217,0.783,0.217,0.783,0,2,59.88,1
tCgSx763/,2016-10-30,2017,F1,france,Stade Rennes,Metz,1.66,4.0,6.75,1-0,1-0,h,1,6,7,3,1,3,6,0,3,0,0,8,13,3,4,13,21,3,0,7,0,2,1,0,1,1,10,8,4,2,6,6,0,3,0,0,9,17,3,4,7,2,0,0,0,2,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,9.48,5.359,4.12,1.393,0.767,0.625,0,0.0,away,0.0,5.0,4.727,4.687,0.628,1.271,5.0,3.853,7.393,0.438,0.795,1,0,0,1,1,1,0.246,1.857,1.846,0.0,0.148,-0.0,0.0,1,0,14.815,0
xzZOsC7S/,2016-10-30,2017,I1,italy,Lazio,Sassuolo,1.52,4.85,7.5,2-1,2-1,h,1,13,12,6,5,7,7,2,1,0,0,12,6,9,4,25,18,3,0,13,0,1,0,1,1,0,14,14,6,5,8,9,2,1,0,0,17,8,10,4,14,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,10.288,5.747,4.54,1.517,0.829,0.688,1,0.0,away,0.0,5.0,7.791,4.09,1.138,0.781,5.0,6.923,6.958,1.948,0.805,1,0,0,1,1,1,0.203,1.923,0.84,0.0,0.133,0.0,-0.133,2,0,13.333,1
zBEayApd/,2016-10-30,2017,I1,italy,Sampdoria,Internazionale,3.9,3.7,2.18,1-0,1-0,h,1,8,10,2,2,6,8,0,2,0,0,12,12,3,4,18,24,2,0,7,0,1,2,0,0,0,9,14,3,3,6,11,1,3,0,0,15,14,4,5,9,0,1,0,0,0,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,10.288,5.747,4.54,1.517,0.829,0.688,2,0.0,away,1.0,4.0,5.749,3.508,1.166,0.338,5.0,6.59,4.125,1.115,0.805,1,0,0,1,1,1,1.789,2.571,1.444,0.0,0.459,0.0,-0.459,0,-2,45.872,1
zF2xGqaj/,2016-10-30,2017,F1,france,Marseille,Bordeaux,2.26,3.35,3.88,0-0,0-0,d,0,8,5,3,1,5,4,1,1,0,0,12,7,1,0,13,19,2,0,1,1,1,0,0,0,3,10,5,3,1,7,4,1,1,0,0,13,8,3,0,3,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,2,0,0,0,0,0,1,9.48,5.359,4.12,1.393,0.767,0.625,2,,,,5.0,5.06,4.353,0.628,0.604,5.0,4.187,5.393,0.771,0.795,0,0,1,0,1,0,0.582,13.0,1.615,0.632,0.368,-1.264,0.0,0,3,25.773,1
M7AexjVk/,2016-10-31,2017,I1,italy,Udinese,Torino,2.82,3.4,2.88,2-2,2-2,d,0,13,13,4,3,9,10,2,3,0,0,9,16,4,4,26,25,5,0,8,0,1,0,0,1,0,16,13,5,3,11,10,2,3,0,0,12,19,4,4,8,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,10.288,5.747,4.54,1.517,0.829,0.688,0,,,,5.0,4.958,5.257,0.805,0.615,5.0,6.423,6.791,0.615,1.305,0,0,1,0,1,0,0.979,3.25,1.154,0.505,0.495,0.0,0.0,0,0,34.722,0
U9ZKrhhM/,2016-10-31,2017,I1,italy,Cagliari,Palermo,1.79,3.9,5.4,2-1,2-1,h,1,8,11,4,3,4,8,4,2,0,0,14,14,1,3,19,28,6,0,4,0,2,1,0,1,1,8,12,4,3,4,9,5,3,0,0,17,16,2,4,6,0,2,0,0,0,2,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,1,1,0,0,0,1,0,10.288,5.747,4.54,1.517,0.829,0.688,2,0.0,away,1.0,5.0,4.291,7.09,0.305,1.448,5.0,4.09,5.791,0.615,0.638,1,0,0,1,1,1,0.331,4.75,1.789,0.0,0.185,0.0,-0.185,1,0,18.519,1
UFKRxEVl/,2016-10-31,2017,E0,england,Stoke City,Swansea,2.15,3.62,4.25,3-1,3-1,h,2,18,12,5,5,13,7,1,0,0,0,6,14,5,3,30,20,1,0,8,0,2,1,1,3,1,18,14,5,6,13,8,2,0,0,0,7,14,5,4,9,2,0,2,0,0,0,0,0,0,0,0,1,0,0,1,2,0,1,1,1,1,0,0,0,1,0,0,1,0,1,1,0,0,0,0,10.577,5.875,4.702,1.586,0.865,0.721,1,,,,4.0,7.175,5.94,0.973,0.744,4.0,4.34,5.775,1.144,0.373,1,0,0,2,0,4,0.506,3.75,0.7,0.0,0.118,-0.0,0.354,0,0,23.529,1
reEJQ0MN/,2016-10-31,2017,SP1,spain,Deportivo La Coruna,Valencia,3.16,3.41,2.61,1-1,1-1,d,0,15,7,4,2,11,5,1,4,0,0,11,18,5,4,22,29,5,0,9,2,1,3,0,1,1,16,10,4,3,12,7,1,5,0,0,13,21,5,6,11,0,1,0,0,0,1,0,0,0,0,1,2,0,2,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,2,0,1,0,0,0,10.496,5.982,4.514,1.491,0.831,0.66,2,,,,4.0,6.396,4.503,0.766,0.532,4.0,4.903,4.796,0.132,1.166,0,0,1,0,1,0,1.211,2.444,1.545,0.452,0.548,0.452,-1.644,0,-2,38.314,1
8bcsttMA/,2016-11-04,2017,SP1,spain,Malaga,Sporting Gijon,1.72,3.89,6.2,3-2,3-2,h,1,19,6,5,4,14,2,4,5,0,1,10,16,6,2,25,26,9,1,8,0,1,1,0,2,1,22,7,7,4,15,3,5,5,0,1,11,19,9,2,11,0,1,0,1,0,0,1,0,0,1,1,0,0,0,2,0,1,0,1,0,0,0,0,0,1,0,0,0,3,0,0,1,0,0,0,10.496,5.982,4.514,1.491,0.831,0.66,3,0.0,away,0.0,5.0,6.497,4.752,0.805,0.777,5.0,3.586,5.497,0.443,0.805,1,0,0,1,1,1,0.277,3.125,1.4,0.0,0.161,0.0,-0.161,2,0,16.129,1
tnOWZ4jM/,2016-11-04,2017,F1,france,Montpellier,Marseille,2.73,3.46,3.05,3-1,3-1,h,2,12,7,4,3,8,4,1,1,0,0,8,8,1,4,19,16,2,0,5,0,0,0,0,2,0,13,10,4,3,9,7,1,1,0,0,9,9,1,5,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,9.48,5.359,4.12,1.393,0.767,0.625,1,,,,5.0,5.56,3.353,0.461,0.271,5.0,3.853,5.227,1.104,1.128,1,0,0,2,0,4,0.895,3.8,0.947,0.0,0.164,0.0,0.328,0,0,32.787,1
vamSAs5B/,2016-11-04,2017,D1,germany,Hertha Berlin,Borussia Monchengladbach,3.02,3.26,2.85,2-0,3-0,h,2,9,11,5,2,4,9,2,3,0,1,12,13,3,1,20,25,5,1,4,0,0,0,1,4,2,12,11,6,2,6,9,2,3,0,1,13,15,4,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,2,1,1,0,0,0,0,1,1,0,1,1,0,0,0,1,0,0,9.502,5.308,4.194,1.302,0.718,0.585,1,,,,4.0,5.062,4.039,0.744,0.917,4.0,3.239,4.862,0.517,0.744,1,0,0,2,0,4,1.06,5.0,1.5,0.0,0.175,0.0,0.7,0,2,35.088,1
