id_odsp,date,season,league,country,home_team,away_team,odd_h,odd_d,odd_a,score_pre_80,score_ft,game_state_80,goal_diff_80,home_shots_pre80,away_shots_pre80,home_shots_on_target_pre80,away_shots_on_target_pre80,home_shots_off_target_pre80,away_shots_off_target_pre80,home_yellow_cards_pre80,away_yellow_cards_pre80,home_sending_off_pre80,away_sending_off_pre80,home_fouls_pre80,away_fouls_pre80,home_corners_pre80,away_corners_pre80,total_shots_pre_80,total_fouls_pre_80,total_yellow_cards_pre_80,total_sending_off_pre_80,total_corners_pre_80,total_corners_70_75,total_shots_70_75,total_fouls_70_75,total_corners_75_80,total_shots_75_80,total_fouls_75_80,home_shots_ft,away_shots_ft,home_shots_on_target_ft,away_shots_on_target_ft,home_shots_off_target_ft,away_shots_off_target_ft,home_yellow_cards_ft,away_yellow_cards_ft,home_sending_off_ft,away_sending_off_ft,home_fouls_ft,away_fouls_ft,home_corners_ft,away_corners_ft,total_corners_ft,home_shots_70_75,away_shots_70_75,home_shots_on_target_70_75,away_shots_on_target_70_75,home_shots_off_target_70_75,away_shots_off_target_70_75,home_yellow_cards_70_75,away_yellow_cards_70_75,home_sending_off_70_75,away_sending_off_70_75,home_fouls_70_75,away_fouls_70_75,home_corners_70_75,away_corners_70_75,home_shots_75_80,away_shots_75_80,home_shots_on_target_75_80,away_shots_on_target_75_80,home_shots_off_target_75_80,away_shots_off_target_75_80,home_yellow_cards_75_80,away_yellow_cards_75_80,home_sending_off_75_80,away_sending_off_75_80,home_fouls_75_80,away_fouls_75_80,home_corners_75_80,away_corners_75_80,home_corner_diff,away_corner_diff,league_england,league_spain,league_germany,league_italy,league_france,league_avg_corners,league_avg_home_corners,league_avg_away_corners,league_avg_post80_corners,league_avg_post80_home_corners,league_avg_post80_away_corners,corner_diff,is_home_trailing,trailing_team,trailing_team_corners,home_games,home_corners_for_avg,home_corners_against_avg,home_post80_corners_for_avg,home_post80_corners_against_avg,away_games,away_corners_for_avg,away_corners_against_avg,away_post80_corners_for_avg,away_post80_corners_against_avg
dCueCZOI/,2016-10-30,2017,D1,germany,FC Cologne,Hamburg SV,1.71,4.2,6.0,1-0,3-0,h,1,15,7,4,1,11,6,3,1,0,1,14,12,7,3,22,26,4,1,10,0,2,1,0,1,1,17,10,6,2,11,8,3,1,0,1,15,15,7,4,11,2,0,0,0,2,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,9.501865671641792,5.307835820895522,4.1940298507462686,1.3022388059701493,0.7176616915422885,0.5845771144278606,1,0.0,away,1.0,4.0,4.261567164179104,4.838805970149254,0.5435323383084577,0.7169154228855721,4.0,2.2388059701492535,6.261567164179104,0.3169154228855721,0.9435323383084576
fis8of83/,2016-10-30,2017,I1,italy,AC Milan,US Pescara,1.42,5.11,10.0,1-0,1-0,h,1,15,9,7,5,8,4,1,2,0,0,5,12,5,4,24,17,3,0,9,0,1,0,0,1,0,18,14,9,6,9,8,1,2,0,0,9,14,5,5,10,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,10.28757225433526,5.747109826589595,4.540462427745664,1.5173410404624277,0.8294797687861272,0.6878612716763006,1,0.0,away,1.0,5.0,6.124518304431599,7.090077071290945,0.1382466281310212,0.9479768786127168,4.0,4.308092485549134,5.149421965317918,1.1375722543352602,0.5658959537572255
hjDXGPqp/,2016-10-30,2017,F1,france,Nice,Nantes,2.04,3.4,4.9,4-1,4-1,h,3,11,16,7,4,4,12,1,3,0,0,12,15,2,4,27,27,4,0,6,0,0,1,0,0,1,12,16,7,4,5,12,1,3,0,0,12,18,2,4,6,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,9.479768786127167,5.359344894026975,4.1204238921001926,1.392581888246628,0.7673410404624278,0.6252408477842004,0,,,,6.0,3.6227635562895677,5.01720341315717,1.2524772914946325,0.8036058353977429,5.0,4.020070648683365,4.226557482337829,0.7708734746307,0.46122350674373797
j1ktDshO/,2016-10-30,2017,SP1,spain,Las Palmas,Celta Vigo,2.38,3.7,3.3,3-3,3-3,d,0,16,7,7,6,9,1,1,6,0,1,11,19,6,1,23,30,7,1,7,0,1,2,0,1,2,17,9,8,6,9,3,2,7,0,1,12,21,8,1,9,1,0,0,0,1,0,0,1,0,0,0,2,0,0,1,0,1,0,0,0,0,0,0,0,2,0,0,0,2,0,0,1,0,0,0,10.495781637717121,5.981637717121588,4.514143920595534,1.490818858560794,0.8307692307692308,0.6600496277915633,2,,,,4.0,4.396327543424317,3.9028287841191065,0.36615384615384616,0.13200992555831265,4.0,4.702828784119107,4.596327543424318,0.5320099255583127,0.5661538461538462
lE2s0gNd/,2016-10-30,2017,I1,italy,Empoli,AS Roma,6.02,4.35,1.67,0-0,0-0,d,0,7,15,2,3,5,12,6,2,0,0,14,9,3,4,22,23,8,0,7,0,1,0,1,2,2,8,23,3,5,5,18,6,3,0,0,17,10,4,8,12,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,0,0,1,1,0,0,0,1,1,0,1,1,4,0,0,0,1,0,10.28757225433526,5.747109826589595,4.540462427745664,1.5173410404624277,0.8294797687861272,0.6878612716763006,5,,,,5.0,4.791184971098265,3.9234104046242777,1.1382466281310213,0.6146435452793835,5.0,6.256743737957611,5.957851637764932,1.2813102119460502,0.8049132947976879
tCgSx763/,2016-10-30,2017,F1,france,Stade Rennes,Metz,1.66,4.0,6.75,1-0,1-0,h,1,6,7,3,1,3,6,0,3,0,0,8,13,3,4,13,21,3,0,7,0,2,1,0,1,1,10,8,4,2,6,6,0,3,0,0,9,17,3,4,7,2,0,0,0,2,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,9.479768786127167,5.359344894026975,4.1204238921001926,1.392581888246628,0.7673410404624278,0.6252408477842004,0,0.0,away,0.0,5.0,4.726557482337829,4.686737315350032,0.6278901734104047,1.2708734746307,5.0,3.8534039820166988,7.393224149004496,0.43754014129736674,0.7945568400770714
xzZOsC7S/,2016-10-30,2017,I1,italy,Lazio,Sassuolo,1.52,4.85,7.5,2-1,2-1,h,1,13,12,6,5,7,7,2,1,0,0,12,6,9,4,25,18,3,0,13,0,1,0,1,1,0,14,14,6,5,8,9,2,1,0,0,17,8,10,4,14,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,10.28757225433526,5.747109826589595,4.540462427745664,1.5173410404624277,0.8294797687861272,0.6878612716763006,1,0.0,away,0.0,5.0,7.791184971098265,4.090077071290945,1.1382466281310213,0.7813102119460501,5.0,6.923410404624278,6.957851637764932,1.9479768786127167,0.8049132947976879
zBEayApd/,2016-10-30,2017,I1,italy,Sampdoria,Internazionale,3.9,3.7,2.18,1-0,1-0,h,1,8,10,2,2,6,8,0,2,0,0,12,12,3,4,18,24,2,0,7,0,1,2,0,0,0,9,14,3,3,6,11,1,3,0,0,15,14,4,5,9,0,1,0,0,0,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,10.28757225433526,5.747109826589595,4.540462427745664,1.5173410404624277,0.8294797687861272,0.6878612716763006,2,0.0,away,1.0,4.0,5.749421965317919,3.5080924855491333,1.1658959537572255,0.3375722543352601,5.0,6.590077071290945,4.124518304431599,1.1146435452793835,0.8049132947976879
zF2xGqaj/,2016-10-30,2017,F1,france,Marseille,Bordeaux,2.26,3.35,3.88,0-0,0-0,d,0,8,5,3,1,5,4,1,1,0,0,12,7,1,0,13,19,2,0,1,1,1,0,0,0,3,10,5,3,1,7,4,1,1,0,0,13,8,3,0,3,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,2,0,0,0,0,0,1,9.479768786127167,5.359344894026975,4.1204238921001926,1.392581888246628,0.7673410404624278,0.6252408477842004,2,,,,5.0,5.059890815671163,4.353403982016698,0.6278901734104047,0.6042068079640334,5.0,4.186737315350032,5.393224149004496,0.7708734746307,0.7945568400770714
M7AexjVk/,2016-10-31,2017,I1,italy,Udinese,Torino,2.82,3.4,2.88,2-2,2-2,d,0,13,13,4,3,9,10,2,3,0,0,9,16,4,4,26,25,5,0,8,0,1,0,0,1,0,16,13,5,3,11,10,2,3,0,0,12,19,4,4,8,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,10.28757225433526,5.747109826589595,4.540462427745664,1.5173410404624277,0.8294797687861272,0.6878612716763006,0,,,,5.0,4.957851637764932,5.256743737957611,0.8049132947976879,0.6146435452793835,5.0,6.423410404624278,6.791184971098265,0.6146435452793835,1.3049132947976878
