id_odsp,date,season,league,country,home_team,away_team,odd_h,odd_d,odd_a,score_pre_80,score_ft,game_state_80,goal_diff_80,home_shots_pre80,away_shots_pre80,home_shots_on_target_pre80,away_shots_on_target_pre80,home_shots_off_target_pre80,away_shots_off_target_pre80,home_yellow_cards_pre80,away_yellow_cards_pre80,home_sending_off_pre80,away_sending_off_pre80,home_fouls_pre80,away_fouls_pre80,home_corners_pre80,away_corners_pre80,total_shots_pre_80,total_fouls_pre_80,total_yellow_cards_pre_80,total_sending_off_pre_80,total_corners_pre_80,total_corners_70_75,total_shots_70_75,total_fouls_70_75,total_corners_75_80,total_shots_75_80,total_fouls_75_80,home_shots_ft,away_shots_ft,home_shots_on_target_ft,away_shots_on_target_ft,home_shots_off_target_ft,away_shots_off_target_ft,home_yellow_cards_ft,away_yellow_cards_ft,home_sending_off_ft,away_sending_off_ft,home_fouls_ft,away_fouls_ft,home_corners_ft,away_corners_ft,total_corners_ft,home_shots_70_75,away_shots_70_75,home_shots_on_target_70_75,away_shots_on_target_70_75,home_shots_off_target_70_75,away_shots_off_target_70_75,home_yellow_cards_70_75,away_yellow_cards_70_75,home_sending_off_70_75,away_sending_off_70_75,home_fouls_70_75,away_fouls_70_75,home_corners_70_75,away_corners_70_75,home_shots_75_80,away_shots_75_80,home_shots_on_target_75_80,away_shots_on_target_75_80,home_shots_off_target_75_80,away_shots_off_target_75_80,home_yellow_cards_75_80,away_yellow_cards_75_80,home_sending_off_75_80,away_sending_off_75_80,home_fouls_75_80,away_fouls_75_80,home_corners_75_80,away_corners_75_80,home_corner_diff,away_corner_diff,league_england,league_spain,league_germany,league_italy,league_france,league_avg_corners,league_avg_home_corners,league_avg_away_corners,league_avg_post80_corners,league_avg_post80_home_corners,league_avg_post80_away_corners,corner_diff,is_home_trailing,trailing_team,trailing_team_corners,home_games,home_corners_for_avg,home_corners_against_avg,home_post80_corners_for_avg,home_post80_corners_against_avg,away_games,away_corners_for_avg,away_corners_against_avg,away_post80_corners_for_avg,away_post80_corners_against_avg,game_state_80_h,game_state_80_a,game_state_80_d,abs_goal_diff_80,close_game_80,goal_diff_squared_80,odds_ratio,shot_to_corner_ratio_pre_80,team_aggression_score_pre_80,home_urgency_to_attack,away_urgency_to_attack,home_momentum_to_attack,away_momentum_to_attack,attack_intensity,defensive_pressure,trailing_team_probability,target
lOpzwMkp/,2011-08-06,2012,D1,germany,Hertha Berlin,Nurnberg,2.06,3.75,3.95,0-1,0-1,a,-1,2,13,0,7,2,6,2,2,0,0,19,21,1,3,15,40,4,0,4,0,0,0,0,1,1,4,13,0,7,4,6,2,3,0,0,23,25,2,3,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,9.502,5.308,4.194,1.302,0.718,0.585,1,1.0,home,1.0,0.0,5.308,4.194,0.718,0.585,0.0,4.194,5.308,0.585,0.718,0,1,0,1,1,1,0.522,3.75,2.933,0.485,0.0,0.0,0.0,1,1,48.544,1
x4HJ63It/,2011-08-06,2012,F1,france,Montpellier,AJ Auxerre,2.12,3.3,4.44,2-1,3-1,h,1,10,16,3,7,7,9,0,1,0,0,13,17,4,5,26,30,1,0,9,0,1,4,0,0,1,13,18,4,8,9,10,0,1,0,0,16,21,4,5,9,1,0,0,0,1,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,9.48,5.359,4.12,1.393,0.767,0.625,0,0.0,away,0.0,0.0,5.359,4.12,0.767,0.625,0.0,4.12,5.359,0.625,0.767,1,0,0,1,1,1,0.477,2.889,1.192,0.0,0.225,-0.0,0.0,0,-3,22.523,0
xQ65dAj5/,2011-08-06,2012,D1,germany,VfB Stuttgart,Schalke 04,2.31,3.8,3.27,2-0,3-0,h,2,10,13,5,9,5,4,1,1,0,0,11,14,2,5,23,25,2,0,7,0,1,0,1,3,2,12,16,6,10,6,6,1,1,0,0,11,18,2,6,8,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,1,1,0,1,0,1,0,0,1,0,0,9.502,5.308,4.194,1.302,0.718,0.585,1,,,,0.0,5.308,4.194,0.718,0.585,0.0,4.194,5.308,0.585,0.718,1,0,0,2,0,4,0.706,3.286,1.174,0.0,0.153,0.0,0.459,0,2,30.581,1
xtklbWLh/,2011-08-06,2012,D1,germany,Hannover 96,TSG Hoffenheim,2.43,3.75,3.4,2-1,2-1,h,1,6,11,3,4,3,7,2,2,0,0,8,14,3,4,17,22,4,0,7,0,0,0,0,2,2,7,12,4,5,3,7,2,2,0,0,10,17,4,5,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,1,0,0,0,0,0,2,0,0,1,1,0,0,1,0,0,9.502,5.308,4.194,1.302,0.718,0.585,2,0.0,away,1.0,0.0,5.308,4.194,0.718,0.585,0.0,4.194,5.308,0.585,0.718,1,0,0,1,1,1,0.715,2.429,1.529,0.0,0.294,0.0,0.588,2,2,29.412,1
zeViBqAP/,2011-08-06,2012,F1,france,Marseille,Sochaux,1.5,4.4,9.0,2-2,2-2,d,0,24,8,6,3,18,5,1,2,0,0,13,7,4,4,32,20,3,0,8,1,2,1,0,1,1,27,8,8,3,19,5,1,3,0,0,14,11,4,5,9,2,0,1,0,1,0,0,0,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,9.48,5.359,4.12,1.393,0.767,0.625,1,,,,0.0,5.359,4.12,0.767,0.625,0.0,4.12,5.359,0.625,0.767,0,0,1,0,1,0,0.167,4.0,0.719,0.857,0.143,-1.714,0.0,0,0,11.111,1
84Llk2m6/,2011-08-07,2012,F1,france,Bordeaux,St Etienne,1.82,3.65,5.5,1-2,1-2,a,-1,9,13,4,2,5,10,1,3,0,0,8,16,3,4,22,24,4,0,7,2,2,2,1,0,1,12,13,5,2,7,10,1,4,0,0,13,18,3,4,7,0,2,0,1,0,1,0,0,0,0,1,1,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,9.48,5.359,4.12,1.393,0.767,0.625,0,1.0,home,0.0,0.0,5.359,4.12,0.767,0.625,0.0,4.12,5.359,0.625,0.767,0,1,0,1,1,1,0.331,3.143,1.273,0.549,0.0,0.0,-0.0,1,-1,54.945,0
K4vgcjya/,2011-08-07,2012,D1,germany,Mainz,Bayer Leverkusen,3.45,3.4,2.5,1-0,2-0,h,1,19,9,6,2,13,7,3,1,0,0,16,16,5,2,28,32,4,0,7,0,1,2,1,1,1,23,9,8,2,14,7,3,2,0,0,18,17,7,2,9,1,0,1,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,1,0,2,0,0,0,1,0,0,9.502,5.308,4.194,1.302,0.718,0.585,2,0.0,away,0.0,0.0,5.308,4.194,0.718,0.585,0.0,4.194,5.308,0.585,0.718,1,0,0,1,1,1,1.38,4.0,1.286,0.0,0.4,0.0,0.4,2,-1,40.0,1
SEqvxt5j/,2011-08-07,2012,D1,germany,Bayern Munich,Borussia Monchengladbach,1.24,7.4,15.0,0-1,0-1,a,-1,15,7,6,3,9,4,0,1,0,0,9,8,9,2,22,17,1,0,11,0,3,1,0,2,1,18,7,7,3,11,4,0,1,0,0,10,9,11,2,13,2,1,0,0,2,1,0,1,0,0,0,1,0,0,2,0,1,0,1,0,0,0,0,0,0,1,0,0,2,0,0,0,1,0,0,9.502,5.308,4.194,1.302,0.718,0.585,2,1.0,home,2.0,0.0,5.308,4.194,0.718,0.585,0.0,4.194,5.308,0.585,0.718,0,1,0,1,1,1,0.083,2.0,0.818,0.806,0.0,0.0,-0.0,2,0,80.645,1
fLN0n0XO/,2011-08-07,2012,F1,france,Dijon FCO,Stade Rennes,3.35,3.27,2.5,1-4,1-5,a,-3,14,15,4,6,10,9,3,1,0,0,14,11,6,3,29,25,4,0,9,0,0,2,1,1,0,17,16,5,7,12,9,3,2,0,0,16,15,9,3,12,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,1,9.48,5.359,4.12,1.393,0.767,0.625,3,,,,0.0,5.359,4.12,0.767,0.625,0.0,4.12,5.359,0.625,0.767,0,1,0,3,0,9,1.34,3.222,1.0,0.0,0.0,0.0,0.0,0,-2,40.0,1
Ea52eLBS/,2011-08-13,2012,D1,germany,TSG Hoffenheim,Borussia Dortmund,4.9,3.8,1.88,1-0,1-0,h,1,11,11,3,4,8,7,2,1,0,0,10,10,5,5,22,20,3,0,10,1,0,2,0,0,1,15,15,3,5,12,10,4,1,0,0,13,11,5,6,11,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,9.502,5.308,4.194,1.302,0.718,0.585,1,0.0,away,1.0,0.0,5.308,4.194,0.718,0.585,0.0,4.194,5.308,0.585,0.718,1,0,0,1,1,1,2.606,2.2,1.045,0.0,0.532,-0.0,0.0,0,-1,53.191,1
