id_odsp,date,season,league,country,home_team,away_team,odd_h,odd_d,odd_a,score_pre_80,score_ft,game_state_80,goal_diff_80,total_shots_pre_80,total_fouls_pre_80,total_yellow_cards_pre_80,total_sending_off_pre_80,total_corners_pre_80,total_corners_70_75,total_shots_70_75,total_fouls_70_75,total_corners_75_80,total_shots_75_80,total_fouls_75_80,total_corners_ft,league_england,league_spain,league_germany,league_italy,league_france,league_avg_corners,league_avg_home_corners,league_avg_away_corners,league_avg_post80_corners,league_avg_post80_home_corners,league_avg_post80_away_corners,corner_diff,is_home_trailing,trailing_team,trailing_team_corners,trailing_team_corner_diff,leading_team_corner_diff,trailing_team_corners_70_75,leading_team_corners_70_75,trailing_team_corners_75_80,leading_team_corners_75_80,leading_team_corners_against_avg,trailing_team_corners_for_avg,trailing_team_corners_ft,leading_team_corners_ft,trailing_team_corners_pre80,leading_team_corners_pre80,trailing_team_fouls_70_75,leading_team_fouls_70_75,trailing_team_fouls_75_80,leading_team_fouls_75_80,trailing_team_fouls_ft,leading_team_fouls_ft,trailing_team_fouls_pre80,leading_team_fouls_pre80,leading_team_post80_corners_against_avg,trailing_team_post80_corners_for_avg,trailing_team_sending_off_70_75,leading_team_sending_off_70_75,trailing_team_sending_off_75_80,leading_team_sending_off_75_80,trailing_team_sending_off_ft,leading_team_sending_off_ft,trailing_team_sending_off_pre80,leading_team_sending_off_pre80,trailing_team_shots_70_75,leading_team_shots_70_75,trailing_team_shots_75_80,leading_team_shots_75_80,trailing_team_shots_ft,leading_team_shots_ft,trailing_team_shots_off_target_70_75,leading_team_shots_off_target_70_75,trailing_team_shots_off_target_75_80,leading_team_shots_off_target_75_80,trailing_team_shots_off_target_ft,leading_team_shots_off_target_ft,trailing_team_shots_off_target_pre80,leading_team_shots_off_target_pre80,trailing_team_shots_on_target_70_75,leading_team_shots_on_target_70_75,trailing_team_shots_on_target_75_80,leading_team_shots_on_target_75_80,trailing_team_shots_on_target_ft,leading_team_shots_on_target_ft,trailing_team_shots_on_target_pre80,leading_team_shots_on_target_pre80,trailing_team_shots_pre80,leading_team_shots_pre80,trailing_team_yellow_cards_70_75,leading_team_yellow_cards_70_75,trailing_team_yellow_cards_75_80,leading_team_yellow_cards_75_80,trailing_team_yellow_cards_ft,leading_team_yellow_cards_ft,trailing_team_yellow_cards_pre80,leading_team_yellow_cards_pre80,odds_ratio,trailing_team_urgency_to_attack,leading_team_urgency_to_attack,trailing_team_momentum_to_attack,leading_team_momentum_to_attack,trailing_team_attack_intensity,leading_team_attack_intensity,trailing_team_defensive_pressure,leading_team_defensive_pressure,trailing_team_shot_to_corner_ratio_pre_80,leading_team_shot_to_corner_ratio_pre_80,trailing_team_aggression_score_pre_80,leading_team_aggression_score_pre_80,trailing_team_probability,target
SEqvxt5j/,2011-08-07,2012,D1,germany,Bayern Munich,Borussia Monchengladbach,1.24,7.4,15.0,0-1,0-1,a,-1,22,17,1,0,11,0,3,1,0,2,1,13,0,0,1,0,0,9.502,5.308,4.194,1.302,0.718,0.585,2,1.0,home,2.0,2,0,0,0,0,0,5.308,5.308,11,2,9,2,0,1,0,1,10,9,9,8,0.718,0.718,0,0,0,0,0,0,0,0,2,1,2,0,18,7,2,1,1,0,11,4,9,4,0,0,1,0,7,3,6,3,15,7,0,1,0,0,0,1,0,1,0.083,0.806,0.067,0.0,-0.067,2,0,0,0,1.667,3.5,0.6,1.286,80.645,1
Ea52eLBS/,2011-08-13,2012,D1,germany,TSG Hoffenheim,Borussia Dortmund,4.9,3.8,1.88,1-0,1-0,h,1,22,20,3,0,10,1,0,2,0,0,1,11,0,0,1,0,0,9.502,5.308,4.194,1.302,0.718,0.585,1,0.0,away,1.0,1,0,0,1,0,0,4.194,4.194,6,5,5,5,1,1,0,1,11,13,10,10,0.585,0.585,0,0,0,0,0,0,0,0,0,0,0,0,15,15,0,0,0,0,10,12,7,8,0,0,0,0,5,3,4,3,11,11,0,0,0,1,1,4,1,2,0.384,0.532,0.204,0.0,-0.204,0,0,-1,0,2.2,2.2,1.0,1.091,53.191,1
KhlsbNR9/,2011-08-13,2012,D1,germany,Nurnberg,Hannover 96,1.97,3.9,4.2,1-2,1-2,a,-1,15,25,5,0,14,0,0,1,0,0,1,14,0,0,1,0,0,9.502,5.308,4.194,1.302,0.718,0.585,0,1.0,home,0.0,0,0,0,0,0,0,5.308,5.308,8,6,8,6,0,1,1,0,13,18,12,13,0.718,0.718,0,0,0,0,0,0,0,0,0,0,0,0,13,5,0,0,0,0,8,2,6,2,0,0,0,0,5,3,4,3,10,5,0,0,0,1,2,3,2,3,0.469,0.508,0.238,0.0,0.0,0,0,1,-1,1.25,0.833,1.4,3.2,50.761,0
byqaawHU/,2011-08-13,2012,F1,france,Lyon,AC Ajaccio,1.3,5.8,14.58,0-1,1-1,a,-1,23,25,3,0,12,0,1,1,0,1,1,14,0,0,0,0,1,9.48,5.359,4.12,1.393,0.767,0.625,2,1.0,home,2.0,2,0,0,0,0,0,5.359,5.359,13,1,11,1,1,0,0,1,14,17,11,14,0.767,0.767,0,0,0,0,0,0,0,0,0,1,1,0,24,7,0,1,1,0,16,5,12,4,0,0,0,0,8,2,5,2,17,6,0,0,0,0,1,3,1,2,0.089,0.769,0.069,0.769,-0.069,1,0,-1,1,1.545,6.0,0.706,2.667,76.923,1
t2kwa3C3/,2011-08-13,2012,D1,germany,Hamburg SV,Hertha Berlin,2.12,3.6,3.98,2-1,2-2,h,1,29,17,4,0,9,0,0,3,2,1,1,11,0,0,1,0,0,9.502,5.308,4.194,1.302,0.718,0.585,2,0.0,away,2.0,2,0,0,0,0,2,4.194,4.194,6,5,4,5,2,1,0,1,8,13,7,10,0.585,0.585,0,0,0,0,0,0,0,0,0,0,0,1,24,9,0,0,0,1,18,5,17,5,0,0,0,0,6,4,5,2,22,7,0,0,0,0,3,3,2,2,1.877,0.251,0.472,0.0,1.416,0,3,-2,0,5.5,1.4,0.409,1.714,25.126,1
vFrDKMnt/,2011-08-13,2012,F1,france,Stade Rennes,Paris Saint-Germain,2.66,3.25,3.1,0-1,1-1,a,-1,15,33,3,0,5,0,2,1,0,1,1,6,0,0,0,0,1,9.48,5.359,4.12,1.393,0.767,0.625,1,1.0,home,1.0,1,0,0,0,0,0,5.359,5.359,3,3,2,3,1,0,0,1,14,21,14,19,0.767,0.767,0,0,0,0,0,0,0,0,1,1,0,1,11,8,1,0,0,1,7,4,6,2,0,1,0,0,4,4,3,4,9,6,0,0,0,0,2,2,2,1,0.858,0.376,0.323,-0.376,0.0,0,1,-1,1,4.5,2.0,1.778,3.333,37.594,1
x8cIHKWb/,2011-08-13,2012,F1,france,Toulouse,Dijon FCO,1.68,3.8,7.0,1-0,2-0,h,1,17,17,3,0,7,0,1,1,0,0,1,7,0,0,0,0,1,9.48,5.359,4.12,1.393,0.767,0.625,0,0.0,away,0.0,0,0,0,0,0,0,4.12,4.12,1,6,1,6,0,1,0,1,9,8,9,8,0.625,0.625,0,0,0,0,0,0,0,0,0,1,0,0,7,13,0,0,0,0,4,6,3,5,0,1,0,0,3,7,3,6,6,11,0,0,0,0,2,1,2,1,4.167,0.143,0.595,0.0,-0.595,0,0,0,0,6.0,1.833,1.833,0.818,14.286,0
29kj1anI/,2011-08-14,2012,F1,france,Lille,Montpellier,1.6,4.0,8.19,0-1,0-1,a,-1,27,24,4,0,6,1,4,0,0,1,1,7,0,0,0,0,1,9.48,5.359,4.12,1.393,0.767,0.625,1,1.0,home,1.0,1,0,1,0,0,0,5.359,5.359,7,0,6,0,0,0,0,1,8,21,6,18,0.767,0.767,0,0,0,0,0,0,0,0,3,1,1,0,20,9,1,1,1,0,14,6,14,5,2,0,0,0,6,3,5,3,19,8,0,0,0,0,3,2,2,2,0.195,0.625,0.122,-1.875,-0.122,1,0,0,1,3.167,inf,0.421,2.5,62.5,1
OIjn2uXB/,2011-08-14,2012,F1,france,Evian Thonon Gaillard,Nice,2.31,3.26,3.75,1-0,1-0,h,1,23,19,4,0,6,0,0,1,1,0,0,7,0,0,0,0,1,9.48,5.359,4.12,1.393,0.767,0.625,1,0.0,away,0.0,0,1,0,0,1,0,4.12,4.12,5,2,5,1,0,1,0,0,12,11,9,10,0.625,0.625,0,0,0,0,0,0,0,0,0,0,0,0,14,13,0,0,0,0,11,9,9,8,0,0,0,0,3,4,3,3,12,11,0,0,0,0,1,3,1,3,1.623,0.267,0.433,0.267,0.0,1,0,0,-1,2.4,11.0,0.833,1.182,26.667,0
fqnr3LH5/,2011-08-14,2012,F1,france,AJ Auxerre,Marseille,3.95,3.31,2.24,1-2,2-2,a,-1,16,30,6,0,9,2,2,2,0,0,0,11,0,0,0,0,1,9.48,5.359,4.12,1.393,0.767,0.625,2,1.0,home,2.0,2,0,2,0,0,0,5.359,5.359,9,2,7,2,1,1,0,0,18,14,17,13,0.767,0.767,0,0,0,0,0,0,0,0,2,0,0,0,13,7,2,0,0,0,8,5,7,3,0,0,0,0,5,2,4,2,11,5,1,0,0,0,5,2,4,2,1.763,0.253,0.446,-1.012,0.0,0,0,-1,-1,1.571,2.5,1.909,3.0,25.316,1
