kaggle_id,league,home_team,away_team
ANi67wTi/,France Ligue 1,Guingamp,Nantes
zuIUqjjr/,Italy Serie A,Genoa,Palermo
jXPRvJAU/,Italy Serie A,AC Milan,Cagliari
