id_odsp,date,season,league,country,home_team,away_team,odd_h,odd_d,odd_a,score_pre_80,score_ft,game_state_80,goal_diff_80,home_shots_pre80,away_shots_pre80,home_fouls_pre80,away_fouls_pre80,home_corners_pre80,away_corners_pre80,home_yellow_cards_pre80,away_yellow_cards_pre80,home_sending_off_pre80,away_sending_off_pre80,home_corners_70_75,away_corners_70_75,home_shots_70_75,away_shots_70_75,home_fouls_70_75,away_fouls_70_75,home_corners_75_80,away_corners_75_80,home_shots_75_80,away_shots_75_80,home_fouls_75_80,away_fouls_75_80,odd_h,odd_d,odd_a,total_shots_pre_80,total_fouls_pre_80,total_yellow_cards_pre_80,total_sending_off_pre_80,total_corners_pre_80,total_corners_70_75,total_shots_70_75,total_fouls_70_75,total_corners_75_80,total_shots_75_80,total_fouls_75_80,odds_ratio,shot_to_corner_ratio_pre_80,home_urgency_to_attack,away_urgency_to_attack,home_momentum_to_attack,away_momentum_to_attack,attack_intensity,defensive_pressure,home_corner_diff,away_corner_diff,corner_diff,target
6LtDYvo2/,2012-03-25,2012,SP1,spain,Athletic Bilbao,Sporting Gijon,1.42,5.38,11.3,1-0,1-1,h,1,10,9,11,14,2,3,0,4,0,0,1,0,1,0,0,2,0,0,0,0,0,1,1.42,5.38,11.3,19,25,4,0,5,1,1,2,0,0,1,0.126,3.8,0.0,0.088,-0.0,0.0,0,-1,0,0,0,0
8nAfevaS/,2012-03-25,2012,I1,italy,Atalanta,Bologna,2.42,2.92,4.24,1-0,2-0,h,1,13,10,12,17,5,2,1,4,0,1,0,0,0,0,1,1,0,0,0,0,0,3,2.42,2.92,4.24,23,29,5,1,7,0,0,2,0,0,3,0.571,3.286,0.0,0.236,0.0,0.0,0,1,2,0,2,1
ETnNjb7q/,2012-03-25,2012,I1,italy,Lazio,Cagliari,1.92,3.5,5.4,0-0,1-0,d,0,13,3,15,11,6,1,0,2,0,0,1,0,0,0,1,1,0,0,0,0,1,0,1.92,3.5,5.4,16,26,2,0,7,1,0,2,0,0,1,0.356,2.286,0.738,0.262,-0.738,0.0,0,-1,1,1,2,1
M5pbX9PF/,2012-03-25,2012,F1,france,Toulouse,AJ Auxerre,1.75,3.82,7.22,1-0,1-0,h,1,9,5,8,14,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.75,3.82,7.22,14,22,0,0,6,0,0,0,0,0,0,0.242,2.333,0.0,0.139,0.0,0.0,0,0,2,0,2,1
MgjVlxxd/,2012-03-25,2012,I1,italy,Genoa,Fiorentina,2.65,3.1,3.65,1-2,2-2,a,-1,11,15,14,15,4,3,0,2,0,0,0,0,1,0,0,2,0,0,1,1,1,1,2.65,3.1,3.65,26,29,2,0,7,0,1,2,0,2,2,0.726,3.714,0.377,0.0,0.0,0.0,2,0,0,1,1,1
Otg3cON2/,2012-03-25,2012,SP1,spain,Real Zaragoza,Atletico Madrid,5.2,3.8,1.87,0-0,1-0,d,0,9,10,12,13,5,8,0,2,0,0,0,0,1,0,0,0,0,0,0,0,2,0,5.2,3.8,1.87,19,25,2,0,13,0,1,0,0,0,2,2.781,1.462,0.264,0.736,-0.264,0.0,0,2,0,1,1,1
Q9RjlKpk/,2012-03-25,2012,SP1,spain,Real Betis,Racing Santander,1.65,4.24,7.67,1-1,1-1,d,0,14,9,8,14,2,8,1,5,0,0,0,1,0,2,0,1,0,0,2,2,0,0,1.65,4.24,7.67,23,22,6,0,10,1,2,1,0,4,0,0.215,2.3,0.823,0.177,1.646,-0.177,0,-1,1,1,2,1
UgO3e2hF/,2012-03-25,2012,SP1,spain,Levante,Osasuna,2.14,3.5,4.09,0-2,0-2,a,-2,17,12,9,9,3,6,2,1,0,0,0,0,0,0,0,0,0,1,1,3,0,0,2.14,3.5,4.09,29,18,3,0,9,0,0,0,1,4,0,0.523,3.222,0.234,0.0,0.234,0.0,0,0,2,0,2,1
Y5aFbLcP/,2012-03-25,2012,D1,germany,VfB Stuttgart,Nurnberg,2.02,3.75,4.4,1-0,1-0,h,1,7,11,13,13,3,11,2,1,0,0,0,1,0,1,1,0,0,0,1,0,0,1,2.02,3.75,4.4,18,26,3,0,14,1,1,1,0,1,1,0.459,1.286,0.0,0.227,0.0,-0.454,1,0,1,2,3,1
hKoRkIMk/,2012-03-25,2012,I1,italy,Napoli,Catania,1.6,4.26,8.36,2-1,2-2,h,1,16,9,10,7,5,6,1,1,0,0,0,1,2,2,1,0,0,0,1,0,0,2,1.6,4.26,8.36,25,17,2,0,11,1,4,1,0,1,2,0.191,2.273,0.0,0.12,-0.0,-0.36,1,1,0,1,1,1
rBsmDlYq/,2012-03-25,2012,F1,france,Dijon FCO,Caen,2.31,3.3,3.6,2-0,2-0,h,2,9,7,14,15,2,2,1,4,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2.31,3.3,3.6,16,29,5,0,4,0,0,2,0,0,0,0.642,4.0,0.0,0.139,0.0,0.0,0,-2,0,0,0,0
roxnk0Vr/,2012-03-25,2012,SP1,spain,Espanyol,Malaga,2.58,3.56,3.05,1-1,1-2,d,0,7,7,15,7,4,5,3,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2.58,3.56,3.05,14,22,4,0,9,0,0,0,1,0,0,0.846,1.556,0.542,0.458,0.0,0.458,0,0,1,1,2,1
x68yAwEL/,2012-03-25,2012,I1,italy,Chievo Verona,Siena,2.5,2.82,4.44,1-1,1-1,d,0,13,7,15,6,3,2,2,3,0,0,0,0,0,1,2,0,0,1,0,0,0,0,2.5,2.82,4.44,20,21,5,0,5,0,1,2,1,0,0,0.563,4.0,0.64,0.36,0.0,0.0,0,-2,1,0,1,1
zFosfu6t/,2012-03-25,2012,D1,germany,FC Cologne,Borussia Dortmund,10.0,5.53,1.47,1-5,1-6,a,-4,4,14,12,9,2,3,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,10.0,5.53,1.47,18,21,1,0,5,0,0,1,0,1,0,6.803,3.6,0.0,0.0,0.0,0.0,0,-1,0,0,0,0
Agm4z1Gk/,2012-03-26,2012,SP1,spain,Granada,Sevilla,3.0,3.65,2.52,0-2,0-3,a,-2,16,18,6,12,10,1,3,3,0,0,2,0,1,0,1,0,0,0,0,2,0,0,3.0,3.65,2.52,34,18,6,0,11,2,1,1,0,2,0,1.19,3.091,0.167,0.0,-0.501,0.0,0,-1,1,0,1,1
4fZgiwja/,2012-03-30,2012,D1,germany,Borussia Dortmund,VfB Stuttgart,1.33,6.0,11.6,2-3,4-4,a,-1,23,10,6,9,7,4,0,1,0,0,0,1,0,2,1,1,0,0,0,1,1,0,1.33,6.0,11.6,33,15,1,0,11,1,2,2,0,1,1,0.115,3.0,0.752,0.0,0.0,-0.0,1,-1,4,0,4,1
2X9MT0Os/,2012-03-31,2012,F1,france,St Etienne,Nice,2.06,3.5,5.09,2-2,2-3,d,0,10,8,6,12,7,2,0,1,0,0,0,0,0,0,0,0,0,0,1,2,0,1,2.06,3.5,5.09,18,18,1,0,9,0,0,0,0,3,1,0.405,2.0,0.712,0.288,0.712,0.576,0,1,0,3,3,1
2yY57aiR/,2012-03-31,2012,SP1,spain,Osasuna,Real Madrid,9.18,5.09,1.45,1-5,1-5,a,-4,11,12,15,13,3,3,2,1,0,0,0,0,0,1,0,2,0,0,0,1,1,2,9.18,5.09,1.45,23,28,3,0,6,0,1,2,0,1,3,6.331,3.833,0.0,0.0,0.0,0.0,0,1,0,1,1,1
40Qfmv0e/,2012-03-31,2012,SP1,spain,Racing Santander,Granada,2.35,3.4,3.5,0-0,0-1,d,0,6,13,14,8,2,5,2,2,0,0,0,0,0,0,0,0,0,0,1,1,1,1,2.35,3.4,3.5,19,22,4,0,7,0,0,0,0,2,2,0.671,2.714,0.598,0.402,0.598,0.402,0,2,1,0,1,1
CQT2oIU7/,2012-03-31,2012,SP1,spain,Barcelona,Athletic Bilbao,1.12,12.43,22.24,2-0,2-0,h,2,18,2,7,11,9,2,1,3,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1.12,12.43,22.24,20,18,4,0,11,0,0,0,0,1,1,0.05,1.818,0.0,0.022,0.0,0.0,0,1,1,1,2,1
EoQrELOf/,2012-03-31,2012,F1,france,Bordeaux,Dijon FCO,1.71,3.75,7.0,1-0,1-1,h,1,14,7,15,13,9,3,1,2,0,0,0,0,2,1,2,0,1,0,1,0,0,0,1.71,3.75,7.0,21,28,3,0,12,0,3,2,1,1,0,0.244,1.75,0.0,0.143,0.0,-0.143,2,-2,1,1,2,1
Gx1AkHKB/,2012-03-31,2012,D1,germany,Werder Bremen,Mainz,2.2,3.62,3.89,0-3,0-3,a,-3,15,8,12,14,7,0,1,2,0,0,2,0,1,1,1,1,0,0,1,0,0,2,2.2,3.62,3.89,23,26,3,0,7,2,2,2,0,1,2,0.566,3.286,0.0,0.0,-0.0,-0.0,0,0,0,0,0,0
IaYkZM0K/,2012-03-31,2012,F1,france,AS Nancy Lorraine,Paris Saint-Germain,4.2,3.4,2.17,1-1,2-1,d,0,12,15,13,13,3,5,1,3,0,0,0,2,0,2,0,1,0,0,0,0,0,0,4.2,3.4,2.17,27,26,4,0,8,2,2,1,0,0,0,1.935,3.375,0.341,0.659,0.0,-2.636,0,-1,0,0,0,0
ImWgA178/,2012-03-31,2012,SP1,spain,Sporting Gijon,Real Zaragoza,2.24,3.48,4.05,1-1,1-2,d,0,13,10,17,24,7,6,2,5,0,0,1,0,0,0,2,0,0,0,0,0,1,1,2.24,3.48,4.05,23,41,7,0,13,1,0,2,0,0,2,0.553,1.769,0.644,0.356,-0.644,0.0,0,0,0,0,0,0
K0xk1cUf/,2012-03-31,2012,SP1,spain,Malaga,Real Betis,1.73,4.2,5.7,0-2,0-2,a,-2,17,7,5,18,6,1,1,4,0,0,0,0,2,0,0,0,1,0,3,0,0,0,1.73,4.2,5.7,24,23,5,0,7,0,2,0,1,3,0,0.304,3.429,0.289,0.0,0.578,0.0,0,0,1,0,1,1
KOQvF19l/,2012-03-31,2012,F1,france,AJ Auxerre,Valenciennes,2.48,3.15,3.5,2-0,2-0,h,2,13,7,15,11,5,5,1,1,0,0,0,0,0,0,2,0,0,0,2,0,2,0,2.48,3.15,3.5,20,26,2,0,10,0,0,2,0,2,2,0.709,2.0,0.0,0.143,0.0,0.0,0,0,0,0,0,0
MF16jc55/,2012-03-31,2012,D1,germany,Bayer Leverkusen,SC Freiburg,1.75,4.04,5.22,0-2,0-2,a,-2,10,8,14,19,3,1,1,3,0,0,0,0,0,1,4,1,0,0,0,0,0,2,1.75,4.04,5.22,18,33,4,0,4,0,1,5,0,0,2,0.335,4.5,0.286,0.0,0.0,-0.0,0,-3,0,0,0,0
QXop6x5h/,2012-03-31,2012,D1,germany,Hertha Berlin,VfL Wolfsburg,2.58,3.58,3.05,1-3,1-4,a,-2,13,12,8,9,7,1,0,0,0,0,2,0,1,0,0,0,0,0,0,0,1,1,2.58,3.58,3.05,25,17,0,0,8,2,1,0,0,0,2,0.846,3.125,0.194,0.0,-0.582,0.0,0,2,0,0,0,0
QZpAOID8/,2012-03-31,2012,I1,italy,Catania,AC Milan,4.05,3.37,2.16,1-1,1-1,d,0,16,8,8,10,3,4,0,2,0,0,0,0,0,0,0,1,1,2,0,2,0,1,4.05,3.37,2.16,24,18,2,0,7,0,0,1,3,2,1,1.875,3.429,0.348,0.652,0.348,2.608,0,0,1,4,5,1
Um5X0Zz8/,2012-03-31,2012,I1,italy,Parma,Lazio,2.68,3.29,3.35,3-1,3-1,h,2,13,5,16,20,4,4,1,1,0,0,0,0,1,0,0,1,0,0,0,0,1,2,2.68,3.29,3.35,18,36,2,0,8,0,1,1,0,0,3,0.8,2.25,0.0,0.149,-0.0,0.0,0,2,1,0,1,1
W6EQSKwl/,2012-03-31,2012,F1,france,Sochaux,Brest,2.08,3.5,5.09,1-1,2-1,d,0,14,6,11,11,6,0,1,2,0,0,0,0,0,0,1,1,0,0,1,0,0,1,2.08,3.5,5.09,20,22,3,0,6,0,0,2,0,1,1,0.409,3.333,0.71,0.29,0.71,0.0,0,-1,0,0,0,0
jegNnF4U/,2012-03-31,2012,D1,germany,Kaiserslautern,Hamburg SV,2.75,3.5,2.94,0-1,0-1,a,-1,15,11,19,12,9,3,4,2,0,0,0,1,2,0,1,1,1,0,1,0,0,1,2.75,3.5,2.94,26,31,6,0,12,1,2,2,1,1,1,0.935,2.167,0.364,0.0,0.0,-0.0,2,-1,1,2,3,1
l4IeBJ8D/,2012-03-31,2012,F1,france,Lorient,Evian Thonon Gaillard,2.06,3.43,4.78,0-1,0-1,a,-1,6,4,11,16,4,3,1,2,0,0,0,1,0,1,0,1,1,0,2,0,0,0,2.06,3.43,4.78,10,27,3,0,7,1,1,1,1,2,0,0.431,1.429,0.485,0.0,1.455,-0.0,3,-1,1,1,2,1
r9du7Ikn/,2012-03-31,2012,D1,germany,FC Augsburg,FC Cologne,2.04,3.75,4.19,2-1,2-1,h,1,10,3,11,24,9,1,1,4,0,0,0,0,0,0,1,0,0,0,0,0,0,1,2.04,3.75,4.19,13,35,5,0,10,0,0,1,0,0,1,0.487,1.3,0.0,0.239,0.0,0.0,0,0,2,0,2,1
08DG4Hyq/,2012-04-01,2012,I1,italy,Cagliari,Atalanta,2.25,2.9,5.19,2-0,2-0,h,2,12,9,16,13,4,5,0,2,0,0,0,0,0,1,3,0,0,1,0,0,1,0,2.25,2.9,5.19,21,29,2,0,9,0,1,3,1,0,1,0.434,2.333,0.0,0.096,0.0,0.0,0,-2,0,4,4,1
0ONfYtGQ/,2012-04-01,2012,F1,france,Stade Rennes,Lyon,2.42,3.7,3.55,1-1,1-1,d,0,16,7,11,11,3,3,1,0,0,0,0,0,1,1,2,1,0,0,0,2,2,0,2.42,3.7,3.55,23,22,1,0,6,0,2,3,0,2,2,0.682,3.833,0.595,0.405,-0.595,0.405,0,-1,1,0,1,1
0hwNLGcR/,2012-04-01,2012,I1,italy,Bologna,Palermo,2.64,2.69,4.5,1-2,1-3,a,-1,12,9,15,13,5,4,1,4,0,0,0,0,1,1,0,2,0,0,1,2,1,0,2.64,2.69,4.5,21,28,5,0,9,0,2,2,0,3,1,0.587,2.333,0.379,0.0,0.0,0.0,3,-1,0,0,0,0
4QqENxTE/,2012-04-01,2012,I1,italy,Juventus,Napoli,1.8,3.75,5.4,2-0,3-0,h,2,19,7,18,14,3,5,4,2,0,0,0,0,2,0,1,0,0,0,4,1,0,0,1.8,3.75,5.4,26,32,6,0,8,0,2,1,0,5,0,0.333,3.25,0.0,0.093,0.0,0.093,0,-1,0,1,1,1
8YGO2e6e/,2012-04-01,2012,I1,italy,Fiorentina,Chievo Verona,1.82,3.55,5.75,1-1,1-2,d,0,13,6,12,19,9,4,3,3,0,0,0,0,1,0,1,1,0,0,2,0,0,2,1.82,3.55,5.75,19,31,6,0,13,0,1,2,0,2,2,0.317,1.462,0.76,0.24,0.76,0.0,0,0,0,0,0,0
ADJiCag7/,2012-04-01,2012,F1,france,Lille,Toulouse,1.74,3.65,6.4,2-1,2-1,h,1,16,8,12,15,5,3,2,3,0,0,0,0,0,0,0,1,0,1,0,1,2,0,1.74,3.65,6.4,24,27,5,0,8,0,0,1,1,1,2,0.272,3.0,0.0,0.156,0.0,0.312,2,1,1,1,2,1
IXPlHz6r/,2012-04-01,2012,I1,italy,Siena,Udinese,2.82,3.2,3.08,1-0,1-0,h,1,12,10,11,10,5,1,3,1,0,0,0,0,1,3,0,0,0,0,0,1,1,2,2.82,3.2,3.08,22,21,4,0,6,0,4,0,0,1,3,0.916,3.667,0.0,0.325,-0.0,-0.65,1,3,0,4,4,1
OpZ18uxL/,2012-04-01,2012,SP1,spain,Valencia,Levante,1.64,4.42,6.36,1-1,1-1,d,0,10,8,11,9,5,2,3,3,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1.64,4.42,6.36,18,20,6,0,7,0,0,0,1,1,1,0.258,2.571,0.795,0.205,1.59,0.0,0,1,0,0,0,0
Qwwo2wFl/,2012-04-01,2012,SP1,spain,Villarreal,Espanyol,2.16,3.6,3.9,0-0,0-0,d,0,7,8,10,12,1,1,1,3,0,0,0,1,0,0,0,1,0,0,0,0,0,0,2.16,3.6,3.9,15,22,4,0,2,1,0,1,0,0,0,0.554,7.5,0.644,0.356,0.0,-0.356,0,-1,2,0,2,1
UNZc9LME/,2012-04-01,2012,SP1,spain,Atletico Madrid,Getafe,1.63,4.2,6.68,3-0,3-0,h,3,7,9,20,7,7,3,0,2,0,0,0,0,0,1,0,0,0,0,2,0,1,0,1.63,4.2,6.68,16,27,2,0,10,0,1,0,0,2,1,0.244,1.6,0.0,0.0,0.0,-0.0,0,1,0,0,0,0
WYhy8bzt/,2012-04-01,2012,D1,germany,TSG Hoffenheim,Schalke 04,3.12,3.9,2.35,1-1,1-1,d,0,15,16,18,8,5,3,2,4,0,0,0,0,0,2,1,0,0,1,0,5,1,0,3.12,3.9,2.35,31,26,6,0,8,0,2,1,1,5,1,1.328,3.875,0.43,0.57,0.0,2.28,0,0,0,0,0,0
fTaElyzI/,2012-04-01,2012,D1,germany,Hannover 96,Borussia Monchengladbach,2.86,3.56,2.68,2-1,2-1,h,1,10,12,7,6,3,5,0,1,0,0,0,0,0,3,0,0,0,0,1,3,0,0,2.86,3.56,2.68,22,13,1,0,8,0,3,0,0,4,0,1.067,2.75,0.0,0.373,0.0,0.0,4,0,2,1,3,1
fVCK3yik/,2012-04-01,2012,I1,italy,Lecce,Cesena,1.62,4.12,7.2,0-0,0-0,d,0,16,13,10,11,7,2,1,2,0,0,1,0,0,0,1,2,0,0,1,1,1,0,1.62,4.12,7.2,29,21,3,0,9,1,0,3,0,2,1,0.225,3.222,0.816,0.184,0.0,0.184,0,-2,0,0,0,0
hxPnDuv1/,2012-04-01,2012,F1,france,Caen,AC Ajaccio,1.93,3.49,5.0,0-0,0-0,d,0,13,4,19,11,6,3,1,4,0,0,0,0,0,0,1,0,2,0,1,0,1,0,1.93,3.49,5.0,17,30,5,0,9,0,0,1,2,1,1,0.386,1.889,0.722,0.278,2.166,0.0,0,0,0,2,2,1
jc6T1FL1/,2012-04-01,2012,I1,italy,Internazionale,Genoa,1.65,4.09,6.6,4-3,5-4,h,1,19,13,8,11,2,10,1,3,1,0,0,0,1,0,0,1,0,0,0,0,1,1,1.65,4.09,6.6,32,19,4,1,12,0,1,1,0,0,2,0.25,2.667,0.0,0.152,-0.0,0.0,0,1,0,0,0,0
nkZIMdrL/,2012-04-01,2012,I1,italy,AS Roma,Novara,1.34,5.85,13.53,4-2,5-2,h,2,14,13,3,9,2,2,1,1,0,0,0,0,0,2,0,0,0,0,1,1,0,0,1.34,5.85,13.53,27,12,2,0,4,0,2,0,0,2,0,0.099,6.75,0.0,0.037,0.0,-0.037,0,0,1,0,1,1
rVFY2Jar/,2012-04-01,2012,SP1,spain,Real Sociedad,Rayo Vallecano,2.27,3.55,3.6,4-0,4-0,h,4,12,6,13,15,2,5,1,3,0,0,0,2,0,1,0,0,0,1,0,0,1,0,2.27,3.55,3.6,18,28,4,0,7,2,1,0,1,0,1,0.631,2.571,0.0,0.0,0.0,-0.0,0,1,1,0,1,1
YZUbnbF1/,2012-04-02,2012,SP1,spain,Sevilla,Mallorca,1.67,4.2,6.2,3-1,3-1,h,2,14,7,9,12,7,3,3,2,0,0,1,0,1,0,0,0,0,0,1,2,0,1,1.67,4.2,6.2,21,21,5,0,10,1,1,0,0,3,1,0.269,2.1,0.0,0.081,-0.0,0.162,0,1,1,1,2,1
0SmX0UK5/,2012-04-07,2012,SP1,spain,Real Betis,Villarreal,2.31,3.45,3.65,3-0,3-1,h,3,15,8,12,11,4,8,3,3,0,1,0,0,0,0,1,1,1,1,2,0,1,1,2.31,3.45,3.65,23,23,6,1,12,0,0,2,2,2,2,0.633,1.917,0.0,0.0,0.0,0.0,0,0,0,1,1,1
0tm1GfLl/,2012-04-07,2012,I1,italy,Cesena,Bologna,3.9,3.25,2.68,0-0,0-0,d,0,6,16,17,17,4,5,2,1,0,0,0,0,0,-1,0,0,0,0,1,0,0,1,3.9,3.25,2.68,22,34,3,0,9,0,-1,0,0,1,1,1.455,2.444,0.407,0.593,0.407,0.593,0,1,1,1,2,1
25qICCKD/,2012-04-07,2012,I1,italy,Cagliari,Internazionale,4.3,3.4,2.33,2-2,2-2,d,0,10,11,12,14,4,6,4,3,1,0,0,0,1,1,1,2,1,1,1,2,1,0,4.3,3.4,2.33,21,26,7,1,10,0,2,3,2,3,1,1.845,2.1,0.351,0.649,0.351,1.298,0,-2,0,3,3,1
2w3IIeZi/,2012-04-07,2012,D1,germany,Borussia Monchengladbach,Hertha Berlin,1.65,4.15,7.05,0-0,0-0,d,0,11,5,13,17,1,2,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,1.65,4.15,7.05,16,30,0,0,3,0,1,1,1,0,0,0.234,5.333,0.81,0.19,0.0,0.0,0,-1,0,1,1,1
44UkPxwD/,2012-04-07,2012,F1,france,Dijon FCO,AS Nancy Lorraine,2.39,3.25,3.48,0-1,0-2,a,-1,10,16,18,13,2,4,2,1,0,0,1,0,1,0,0,2,0,0,0,0,1,0,2.39,3.25,3.48,26,31,3,0,6,1,1,2,0,0,1,0.687,4.333,0.418,0.0,-0.836,0.0,0,-1,1,0,1,1
4Opl5dKb/,2012-04-07,2012,D1,germany,Bayern Munich,FC Augsburg,1.17,9.02,22.0,2-1,2-1,h,1,16,4,12,12,3,3,1,0,0,0,0,0,0,0,0,0,0,1,0,0,2,2,1.17,9.02,22.0,20,24,1,0,6,0,0,0,1,0,4,0.053,3.333,0.0,0.045,0.0,0.045,1,4,0,2,2,1
4bqJDzLD/,2012-04-07,2012,I1,italy,Palermo,Juventus,9.03,4.8,1.62,0-2,0-2,a,-2,4,21,9,5,0,8,0,1,0,0,0,1,1,0,1,0,0,0,0,1,0,1,9.03,4.8,1.62,25,14,1,0,8,1,1,1,0,1,1,5.574,3.125,0.055,0.0,-0.055,0.0,0,0,0,0,0,0
6e5H0YYT/,2012-04-07,2012,D1,germany,VfB Stuttgart,Mainz,2.17,3.7,3.85,3-1,4-1,h,2,9,13,3,13,11,2,0,1,0,0,1,0,0,0,0,1,1,1,0,1,1,0,2.17,3.7,3.85,22,16,1,0,13,1,0,1,2,1,1,0.564,1.692,0.0,0.13,0.0,0.26,0,0,2,0,2,1
84iqdhso/,2012-04-07,2012,D1,germany,FC Cologne,Werder Bremen,3.45,3.74,2.5,1-1,1-1,d,0,12,6,15,16,7,5,3,2,0,0,0,0,1,0,1,3,0,0,0,0,1,1,3.45,3.74,2.5,18,31,5,0,12,0,1,4,0,0,2,1.38,1.5,0.42,0.58,-0.42,0.0,0,-2,0,2,2,1
AcBjeS4n/,2012-04-07,2012,I1,italy,Udinese,Parma,2.04,3.5,5.2,2-0,3-1,h,2,8,13,11,10,3,6,2,3,0,0,0,0,0,0,3,0,0,0,0,0,1,1,2.04,3.5,5.2,21,21,5,0,9,0,0,3,0,0,2,0.392,2.333,0.0,0.096,0.0,0.0,0,-1,1,1,2,1
CY5D1EJN/,2012-04-07,2012,D1,germany,Kaiserslautern,TSG Hoffenheim,2.95,3.5,2.66,0-2,1-2,a,-2,12,12,14,19,2,1,2,2,0,0,0,0,1,2,0,0,0,0,0,1,2,2,2.95,3.5,2.66,24,33,4,0,3,0,3,0,0,1,4,1.109,8.0,0.169,0.0,-0.169,-0.0,0,4,1,0,1,1
EFywSvgf/,2012-04-07,2012,F1,france,AC Ajaccio,St Etienne,3.1,3.35,2.77,1-1,1-1,d,0,10,6,17,18,5,5,2,3,0,0,0,0,0,1,1,1,2,1,2,1,0,1,3.1,3.35,2.77,16,35,5,0,10,0,1,2,3,3,1,1.119,1.6,0.472,0.528,1.888,0.528,0,-1,3,0,3,1
IHs6FEze/,2012-04-07,2012,I1,italy,Chievo Verona,Catania,2.82,2.83,3.44,3-1,3-2,h,2,15,10,10,7,7,7,0,1,0,1,2,0,3,0,0,0,1,0,0,1,2,1,2.82,2.83,3.44,25,17,1,1,14,2,3,0,1,1,3,0.82,1.786,0.0,0.145,-0.0,0.145,0,3,0,2,2,1
IJQK1A5a/,2012-04-07,2012,SP1,spain,Espanyol,Real Sociedad,1.96,4.03,5.64,2-2,2-2,d,0,22,9,11,12,11,2,2,3,0,0,0,0,0,0,1,0,0,0,0,0,2,1,1.96,4.03,5.64,31,23,5,0,13,0,0,1,0,0,3,0.348,2.385,0.742,0.258,0.0,0.0,0,2,1,0,1,1
OdRG2jjg/,2012-04-07,2012,SP1,spain,Rayo Vallecano,Osasuna,2.1,3.57,4.3,5-0,6-0,h,5,17,9,12,11,5,5,2,3,0,0,0,0,1,0,1,2,0,0,0,0,0,0,2.1,3.57,4.3,26,23,5,0,10,0,1,3,0,0,0,0.488,2.6,0.0,0.0,-0.0,0.0,0,-3,0,2,2,1
On4EJyKo/,2012-04-07,2012,D1,germany,VfL Wolfsburg,Borussia Dortmund,6.2,4.3,1.68,1-2,1-3,a,-1,8,9,15,5,2,6,2,1,0,0,0,1,0,1,1,0,0,0,0,0,0,0,6.2,4.3,1.68,17,20,3,0,8,1,1,1,0,0,0,3.69,2.125,0.161,0.0,0.0,-0.0,0,-1,3,0,3,1
WCaag6Zb/,2012-04-07,2012,I1,italy,Atalanta,Siena,2.48,2.72,4.72,1-1,1-2,d,0,15,6,11,7,8,3,1,1,0,0,1,0,0,0,2,0,0,1,1,1,0,1,2.48,2.72,4.72,21,18,2,0,11,1,0,2,1,2,1,0.525,1.909,0.656,0.344,0.0,0.688,0,-1,1,0,1,1
bwtPotVJ/,2012-04-07,2012,F1,france,Lyon,AJ Auxerre,1.56,4.7,7.66,2-1,2-1,h,1,15,10,6,10,3,3,0,4,0,0,0,0,1,2,0,0,0,0,1,0,0,1,1.56,4.7,7.66,25,16,4,0,6,0,3,0,0,1,1,0.204,4.167,0.0,0.131,0.0,-0.262,1,1,1,2,3,1
d8tAEYk1/,2012-04-07,2012,I1,italy,AC Milan,Fiorentina,1.31,5.75,14.52,1-1,1-2,d,0,17,10,7,8,9,1,2,2,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1.31,5.75,14.52,27,15,4,0,10,0,1,0,1,0,1,0.09,2.7,0.917,0.083,-0.917,0.083,0,1,0,3,3,1
dvRsRb80/,2012-04-07,2012,F1,france,Brest,Lille,6.06,3.6,1.87,3-1,3-1,h,2,6,8,16,15,2,7,2,3,0,1,0,0,1,0,1,1,0,0,0,0,1,2,6.06,3.6,1.87,14,31,5,1,9,0,1,2,0,0,3,3.241,1.556,0.0,0.267,-0.0,0.0,0,1,2,1,3,1
fJU1beED/,2012-04-07,2012,SP1,spain,Real Zaragoza,Barcelona,21.0,9.0,1.17,1-2,1-4,a,-1,12,10,19,9,2,7,4,3,1,0,0,0,0,0,0,0,0,0,1,0,1,0,21.0,9.0,1.17,22,28,7,1,9,0,0,0,0,1,1,17.949,2.444,0.048,0.0,0.048,0.0,1,1,0,2,2,1
j5AvMviE/,2012-04-07,2012,SP1,spain,Getafe,Sporting Gijon,1.79,3.85,5.3,2-0,2-0,h,2,10,12,22,13,4,5,3,3,0,0,0,2,0,2,1,1,0,0,0,0,4,2,1.79,3.85,5.3,22,35,6,0,9,2,2,2,0,0,6,0.338,2.444,0.0,0.094,0.0,-0.376,0,4,0,0,0,0
jVuEDh57/,2012-04-07,2012,I1,italy,Novara,Genoa,2.82,3.5,2.8,1-1,1-1,d,0,13,6,8,12,8,4,2,1,0,0,2,0,1,0,0,1,0,0,1,0,0,0,2.82,3.5,2.8,19,20,3,0,12,2,1,1,0,1,0,1.007,1.583,0.498,0.502,-0.996,0.0,0,-1,1,1,2,1
