kaggle_id,totalCorner_id
EqKT2m8Q/,60070003
EyzXhvND/,60069601
OAP6nx0s/,60069603
bJYx08um/,60069497
EaIJqzp0/,60069605
4pVviIrB/,60087528
hIRobnAa/,60069499
KxJFpGUg/,60069613
j3CoSNHT/,60069372
QVPgdQvC/,60069501
KpPsA4Fg/,60286997
0W8gdDT5/,60287038
AsGtaFqm/,60287042
8v5sbO1c/,60286925
KY2p8AJ2/,60287018
pYcCfPF6/,60286999
6wq7G6xQ/,60287001
OIVYBQps/,60287003
29UxBp0m/,60287006
byOo9OUa/,60287008
EHq8qPn4/,60286928
8vqCrq2A/,60286932
46xLtNWM/,60286934
GMJPcF7E/,60286936
I7JlcgEa/,60287044
v3qN3eSG/,60287020
OOphFvoi/,60286974
rcyPusnT/,60286938
C6z65H6J/,60287047
f3u3HnNJ/,60287012
ImeE5Hc4/,60287022
bP1l7UY8/,60287024
6VE2qRt2/,60287026
WCMknTdq/,60287028
2FqdEb0c/,60286976
vHKpbZbg/,60287050
b3nOtYTI/,60287054
n719je8j/,60286979
MsmGs3HG/,60286940
8G25iygp/,60286981
fN13CxV9/,60286983
GKvx93OH/,60286985
2HzY9q9B/,60286987
A3LgomCk/,60287032
hWMfzL9j/,60286942
fy1wa4ni/,60286944
E72GgqVC/,60287014
6TB1fibI/,60287056
0CpJ4yDA/,60287034
EuOjy1fp/,60286946
hb1Kh3pJ/,60287016
WjHx0eUt/,60287058
KhoTAPg5/,60286990
KCmKsEEC/,60287060
hSAbp7Re/,60287036
dxq0DIF3/,60286992
Q9vA4yMP/,60287062
xni8BdpG/,60286994
lWF1kiFf/,60287175
Gre0AhiK/,60287177
MqE9mVq7/,60287181
zmIDnkaD/,60287183
xhddBYyE/,60287186
SME5lBU0/,60286961
pIa49C6Q/,60286963
nRoW4WEs/,60286965
Ukyy4jUm/,60286969
KAlwJD8s/,60286971
z3tn2Zfk/,2062633159
v9bKNNqg/,60488366
MyflIfjP/,60488410
2HKzJRXK/,60488339
WAqOBhTh/,60488412
tQvu3Aqf/,60488220
UPZ8SlL7/,60488385
61Rg72aC/,60488369
lQGb6MEI/,60488371
tYIqUP6P/,60488373
rs5BPqFt/,60488375
YVcOMsaa/,60488377
6RnoHiwf/,60488222
WEXi08TC/,60488226
A5WeaSrJ/,60488230
rg1AIkqs/,60488233
I7uKCYDn/,60488414
8fLWJ7IE/,60488341
4dRbkCSK/,60488387
xCOsNVzQ/,60488238
vsWv8ASH/,60488416
SGF25tUO/,60488379
fiec583L/,60488343
lEf14SIR/,60488345
EevtcpB1/,60488350
pMZybQee/,60488354
IaV2lWsR/,60488389
Kvp9jrcp/,60488418
MXyfjhDE/,60488391
SzlsIXNm/,60488243
fiHSKm38/,60488348
8Ao0UAje/,60518568
EVGYrA5l/,60488397
rswjiYc8/,60488400
Sl3yVdad/,60488403
O6oTanRr/,60488356
Q5fGO3Un/,60488381
OptGDEbt/,60488420
Ewwm1lE6/,60488246
O8KwOBLJ/,60488249
6VzYb6tk/,60488359
hbNk8rp6/,60488383
hQXW9Wc5/,60488423
zuIUqjjr/,60488406
jZz5TU51/,60488408
EZYSACra/,60488425
hnwpd4Q7/,60488362
pKA5gBDO/,60488427
zmvq2Ub0/,60488252
UciXKLTB/,60490567
8ljyKuqI/,60490569
EPeiQG5i/,60490571
0tb3NEkA/,60490573
IaiY3BsE/,60490588
CMdSL1E5/,60490575
0pE42DDp/,60490577
CKH81XSj/,60490580
hGfePzLc/,60490583
MkaaOfz4/,60490586
2kI9pNtg/,60490593
pxOaD5er/,60490529
t8JvIomR/,60490535
WhQBA3u1/,60490542
OSM3CPAl/,60490548
IkM7BqQf/,60490553
2wdBV4HQ/,60490557
tO72XQnE/,60490559
h8EK8sAD/,60490561
KE66Wp2K/,60490563
EHFG9Nf7/,60490565
ObJ5o3Rn/,60490597
fPE1nqCt/,60490601
W6BwrUKf/,60490603
GfDkuS4D/,60490607
AcAsslz1/,60490609
4K9ot8k7/,60684156
2HzmW8Dt/,60683915
Mq0EH9bm/,60683919
GKEHGTDg/,60683922
fBDLFmTa/,60683924
jw7UDRcC/,60683928
Oj5xC5SO/,60683932
ljxjGBh0/,60683935
xz3QE7r6/,60683940
p06YCoDI/,60683943
08lLzk5P/,60683947
UTR3SQC5/,60683950
8EweUnrg/,60863237
jwTaT6ca/,60863240
b3W7RpSB/,60863242
Iiqt9xCp/,60863245
Wfmp8dRj/,60863247
2gtfFV76/,60863249
xfVBQ4sI/,60863251
pbySWu4i/,60863253
dvziVSSn/,60863255
rBpIJpah/,60863257
AcnAL6Uu/,60863259
lloEKQqn/,60863261
OKhQHOT4/,60863263
WpdYF2bH/,60863265
AyexFMDN/,60863267
dGubEkNC/,60863269
z7v2D9xJ/,60863272
td3LI4Eb/,60863275
2BiUGrqB/,60863278
GQTBA3lG/,60684178
dzxK8sJS/,60684181
QyyaD54c/,60684184
CtRNuaeO/,60684160
rDV3CPJ3/,60684195
2Bgpc0Qb/,60684170
bqOo41Rq/,60684189
YslDk2Cj/,60684191
Sh1Xa2tt/,60684176
WU9QtutI/,60684158
AycheveB/,60684162
WpbldKu5/,60684166
h0ncfbAH/,60684174
noxeEoki/,60684193
jXPRvJAU/,60684168
SISk3Ltj/,60684187
OKftbtBh/,60684164
M3U7BqZ9/,60684197
EBnF9N3M/,60684199
df0pP2ff/,60684114
8E5xROYd/,60882403
zkVBMetp/,61118602
OlzWVaJc/,61118604
rijXTwlA/,61118606
YuqpRyYS/,61118608
h0psEtTT/,61118610
4OZFLFej/,61118612
rFYJKZAd/,61118614
fV7lOMIF/,60882405
trzlqOoQ/,60684124
OpzTBjM8/,60883465
xEkyTc3G/,61118616
MH9tQrl3/,60882407
Ot2xROPs/,60684111
EVfkOM90/,60684118
I31tQrul/,60684122
0nc1LKgJ/,60684126
2iypp4WJ/,60684130
0ClYk9ak/,60883467
zsPoNtYL/,60882419
EXNkM0mS/,60882411
OWffci7F/,60883469
40iTUJY3/,61118618
UogxkTEe/,60883471
ptdjbXi9/,60883473
8xhtlmU1/,60883475
AsWOCW62/,60883477
IgfbdBML/,60883481
hMggNtP6/,60684120
69Rg2udd/,60882409
jHguSHIM/,61118620
CQMFvrfs/,60684128
Gv9pP239/,60882442
WCAHHKeq/,60882425
MLkUjkpq/,60883483
pGELGvBk/,60882434
nqgcM0vD/,60684132
GvD1eVyS/,60883485
Sv4QFbQe/,60882401
G0dg6llF/,61092438
vmoVyE43/,60684134
SzlPz02L/,61187676
t6EWz0g6/,61092440
O6ZfVwQr/,61187680
ULy990yo/,61186988
d8iCLhKM/,60684136
hvwrGWsp/,60684138
YkfuFjcj/,60684140
CtgqEACd/,60684143
QqsRxfkc/,60684146
